year,primary_pct,secondary_pct,tertiary_pct
2011-12,21.70,26.10,52.20
2012-13,21.90,25.60,52.50
2013-14,21.30,25.80,52.90
2014-15,21.00,25.10,53.90
2015-16,21.40,24.20,54.40
2016-17,21.70,24.60,53.70
2017-18,21.50,24.70,53.80
2018-19,21.60,24.50,53.90
2019-20,22.30,24.30,53.40
2020-21,24.00,22.60,53.40
2021-22,22.10,24.20,53.70
2022-23,21.60,25.00,53.40
2023-24,20.50,25.80,53.70
2024-25,19.80,26.10,54.10
